low	high
80.0	86.0
86.0	92.0
92.0	98.0
98.0	105.0
105.0	112.0
112.0	120.0
120.0	128.0
128.0	137.0
137.0	146.0
146.0	157.0
157.0	167.0
167.0	179.0
179.0	192.0
192.0	205.0
205.0	219.0
219.0	234.0
234.0	251.0
251.0	268.0
268.0	287.0
287.0	307.0
307.0	328.0
328.0	351.0
351.0	375.0
375.0	401.0
401.0	429.0
429.0	459.0
459.0	491.0
491.0	525.0
525.0	561.0
561.0	600.0
600.0	642.0
642.0	686.0
686.0	734.0
734.0	785.0
785.0	839.0
839.0	898.0
898.0	960.0
960.0	1027.0
1027.0	1098.0
1098.0	1174.0
1174.0	1256.0
1256.0	1343.0
1343.0	1437.0
1437.0	1536.0
1536.0	1643.0
1643.0	1757.0
1757.0	1879.0
1879.0	2010.0
2010.0	2150.0
2150.0	2299.0
2299.0	2459.0
2459.0	2629.0
2629.0	2812.0
2812.0	3007.0
3007.0	3216.0
3216.0	3440.0
3440.0	3679.0
3679.0	3934.0
3934.0	4208.0
4208.0	4500.0
